dateStr,description,categoryName,amount
09/15/2024,Groceries,Groceries,100
10/15/2024,Rent,Rent,100
10/15/2024,Groceries,Rent,100
10/15/2024,Groceries,Rent,100
10/15/2024,Groceries,Groceries,100
10/15/2024,Groceries,Groceries,100
10/15/2024,Groceries,Groceries,100
10/15/2024,Groceries,Groceries,100
09/15/2024,Groceries,Groceries,100
09/15/2024,Groceries,Groceries,100
09/15/2024,Rent,Rent,100
09/15/2024,Rent,Rent,100
09/15/2024,Rent,Rent,100
09/15/2024,Rent,Rent,100
09/15/2024,Rent,Rent,100
